method,grouping,village,speaker,fit_basis,n_points,n_vowels,missing_vowels,geo_x,geo_y,centroid_x,centroid_y,ellipse_angle_deg,ellipse_angle_from_horizontal_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
fasttrack,village,ankarsrum,,vowels,8,8,,149.0,456.0,-10.23954583697125,-4.923151821376876,179.9219209509084,-0.07807904909159902,2.2637457988832064,0.6902612561846001,3.279549270077823,1
fasttrack,village,ankarsrum,,midpoints,6,8,,149.0,456.0,-10.035829067795833,-4.966848755510001,1.5217811418928022,1.5217811418928022,2.1147369879259528,0.49561508834884727,4.266893881240069,1
fasttrack,village,anundsjo,,vowels,8,8,,182.0,230.0,-10.5344206327025,-4.632522936348125,0.07740772182552291,0.07740772182552291,2.6968668526057655,0.7005793275482948,3.8494810602584555,1
fasttrack,village,anundsjo,,midpoints,6,8,,182.0,230.0,-10.311815740946667,-4.729321192850417,178.54641741791306,-1.4535825820869377,2.5192569189385012,0.6592396868051799,3.8214582182504406,1
fasttrack,village,are,,vowels,8,8,,89.0,227.0,-10.313228597150625,-4.661488040735,0.363952999149177,0.363952999149177,2.680302531184418,1.0126448102183196,2.6468338198529473,1
fasttrack,village,are,,midpoints,6,8,,89.0,227.0,-10.158663966265832,-4.740514979942501,0.061996675855084504,0.061996675855084504,2.4768837459374655,0.871235623154713,2.842955085983236,1
fasttrack,village,arjeplog,,vowels,8,8,,171.0,122.0,-10.708882112432502,-4.70336663702125,175.03344041862943,-4.966559581370575,2.247795886414866,0.9167203944153506,2.4519972503158116,1
fasttrack,village,arjeplog,,midpoints,6,8,,171.0,122.0,-10.436218319780417,-4.85565268570375,173.4551943557876,-6.544805644212403,2.1436671536544973,0.8288951728151404,2.5861740108511606,1
fasttrack,village,arstad,,vowels,8,8,,70.0,485.0,-10.457049805883749,-4.714789114528125,2.229054996643896,2.229054996643896,2.571074789062054,0.5663330531324002,4.539863557038362,1
fasttrack,village,arstad,,midpoints,6,8,,70.0,485.0,-10.100765922250416,-4.781932546745833,3.3474117732978925,3.3474117732978925,2.3454786857222083,0.49655734175117033,4.723480026396529,1
fasttrack,village,arsunda,,vowels,8,8,,156.0,343.0,-10.046584709045,-4.90251667830875,179.34483567481,-0.6551643251899861,2.3568506131598084,0.8979788824275339,2.6246169695978394,1
fasttrack,village,arsunda,,midpoints,6,8,,156.0,343.0,-9.8517516532925,-4.9615218654725,178.59683910608223,-1.4031608939177715,2.195092766897359,0.8058910810159746,2.7238082398554893,1
fasttrack,village,asby,,vowels,8,8,,125.0,446.0,-10.366732306099376,-4.941887829664376,1.8106786822627612,1.8106786822627612,2.3753898456906546,0.6178145224550607,3.8448268199513524,1
fasttrack,village,asby,,midpoints,6,8,,125.0,446.0,-10.157475733252502,-5.005770081398334,2.79390493186483,2.79390493186483,2.267980642478374,0.3987803408855914,5.687293003064686,1
fasttrack,village,aspas,,vowels,8,8,,112.0,229.0,-10.057284769063125,-4.419413643955313,1.1116411419706935,1.1116411419706935,2.553748736343325,1.0355887994899868,2.4659872119136583,1
fasttrack,village,aspas,,midpoints,6,8,,112.0,229.0,-9.820864039565418,-4.542462107483541,179.58086745661774,-0.41913254338226125,2.3633051876189235,0.9187049731624071,2.5724310378813446,1
fasttrack,village,bara,,vowels,8,8,,79.0,539.0,-10.344350516588126,-4.884067478131875,176.0707899576359,-3.9292100423641045,1.2373900536614648,0.5753316436781581,2.1507422149609132,1
fasttrack,village,bara,,midpoints,6,8,,79.0,539.0,-10.131846148452917,-4.948156269508333,176.05157826000027,-3.9484217399997306,0.9928976184686839,0.4872888895018757,2.037595438475233,1
fasttrack,village,bengtsf,,vowels,8,8,,62.0,401.0,-10.16123460763875,-4.557586660145001,179.00408512177424,-0.9959148782257614,2.7373509104856826,0.6725519484797525,4.070095873892322,1
fasttrack,village,bengtsf,,midpoints,6,8,,62.0,401.0,-9.922599563694169,-4.678935345753334,179.25391904260954,-0.7460809573904612,2.467788598951273,0.5420132264417005,4.553004389122063,1
fasttrack,village,berg,,vowels,8,8,,112.0,252.0,-10.318728701087501,-4.83355455382375,4.606554376477362,4.606554376477362,2.3592648728088808,1.0053243479184406,2.3467698536236803,1
fasttrack,village,berg,,midpoints,6,8,,112.0,252.0,-10.1124405063025,-4.9533217104150005,2.8571308236554955,2.8571308236554955,2.1548729552403647,0.9017200308814178,2.3897361502926895,1
fasttrack,village,bjurholm,,vowels,8,8,,197.0,211.0,-10.407971402468752,-4.65872347076875,176.91079205396866,-3.089207946031337,2.4040868297245064,0.8501465014732794,2.827850053559349,1
fasttrack,village,bjurholm,,midpoints,6,8,,197.0,211.0,-10.185694894135834,-4.783787483503333,175.7649269519469,-4.235073048053096,2.238453978838533,0.7781677305930886,2.8765700386116912,1
fasttrack,village,boda,,vowels,8,8,,163.0,475.0,-10.147173010346874,-4.9182320698887505,178.56875030023724,-1.431249699762759,2.29703728591112,0.8743427911621441,2.627158717529978,1
fasttrack,village,boda,,midpoints,6,8,,163.0,475.0,-9.87883916912625,-5.066657466917083,0.8057992048217955,0.8057992048217955,2.1283794522104733,0.7229617362495612,2.9439724752953897,1
fasttrack,village,borga,,vowels,8,8,,337.0,331.0,-10.234113220625,-4.632942148015,1.2150179432491939,1.2150179432491939,2.489817743281499,1.0500870239326772,2.371058480426595,1
fasttrack,village,borga,,midpoints,6,8,,337.0,331.0,-9.947239126295832,-4.758687109852083,0.6749106954268029,0.6749106954268029,1.9249231361454073,0.9935870030789861,1.937347338663189,1
fasttrack,village,brando,,vowels,8,8,,237.0,337.0,-9.8866813123975,-4.9617682998887505,9.377899289258039,9.377899289258039,2.2509529364471828,0.9450488547281742,2.3818376427688785,1
fasttrack,village,brando,,midpoints,6,8,,237.0,337.0,-9.669420463932498,-5.0416129303945825,6.9543954321145804,6.9543954321145804,1.8868091673785323,0.8087693416160773,2.3329385404351792,1
fasttrack,village,bredsattra,,vowels,8,8,,158.0,489.0,-10.532936804975002,-4.748324566449376,2.518675763907339,2.518675763907339,2.439440645113869,0.8742083792495544,2.7904567183489535,1
fasttrack,village,bredsattra,,midpoints,6,8,,158.0,489.0,-10.2815311804,-4.872944242822499,1.9437089791461517,1.9437089791461517,2.2747248345510425,0.827964112149052,2.747371294447532,1
fasttrack,village,broby,,vowels,8,8,,99.0,510.0,-10.781771919290623,-4.675558547566562,1.2216539603890055,1.2216539603890055,1.5207798765763942,0.5609910934444035,2.710880608173345,1
fasttrack,village,broby,,midpoints,6,8,,99.0,510.0,-10.565748724952917,-4.74575650843125,1.464256039222164,1.464256039222164,1.3779076727226325,0.5116868053378665,2.692873176225056,1
fasttrack,village,burseryd,,vowels,8,8,,84.0,478.0,-10.425131245280625,-4.472587636510313,175.648994169585,-4.351005830415005,2.14242110282218,0.794117767161838,2.6978632029341854,1
fasttrack,village,burseryd,,midpoints,6,8,,84.0,478.0,-10.171971771550833,-4.6202922202856245,176.40264304867077,-3.597356951329232,2.002271758246304,0.7102407746832387,2.819145041537921,1
fasttrack,village,burtrask,,vowels,8,8,,222.0,177.0,-10.536991295380002,-4.861589074630626,5.313925740510825,5.313925740510825,2.172006485404539,1.0794916358827533,2.0120642098615082,1
fasttrack,village,burtrask,,midpoints,6,8,,222.0,177.0,-10.3593249252675,-5.013126996816666,3.260200325671576,3.260200325671576,1.9497727665815523,0.9667012491031172,2.0169341545699937,1
fasttrack,village,dalby,,vowels,8,8,,82.0,336.0,-10.250839139230624,-4.572939758209062,2.7436718331936163,2.7436718331936163,2.4027321097877374,0.8311010584849544,2.8910228007262666,1
fasttrack,village,dalby,,midpoints,6,8,,82.0,336.0,-10.062157621165209,-4.701350460563334,2.683167192434439,2.683167192434439,2.1940703185351595,0.7158349465064447,3.065050580784136,1
fasttrack,village,dragsfjard,,vowels,8,8,,272.0,350.0,-10.227364703298125,-4.6347773529425,1.818012833204051,1.818012833204051,2.4975816708792142,0.8229641868500384,3.0348607032815234,1
fasttrack,village,dragsfjard,,midpoints,6,8,,272.0,350.0,-10.064916866176667,-4.742967486669584,0.2864907447709868,0.2864907447709868,2.0814582137747903,0.7430357266028075,2.8012895467238303,1
fasttrack,village,faro,,vowels,8,8,,208.0,445.0,-10.219894015760625,-4.725877681479375,175.2712033044519,-4.728796695548112,2.244547616433453,0.5488094145342055,4.089848965762517,1
fasttrack,village,faro,,midpoints,6,8,,208.0,445.0,-10.05438598263,-4.721926693431667,177.72484199358294,-2.2751580064170582,2.0421612086618457,0.3587770567437462,5.692006136614371,1
fasttrack,village,floby,,vowels,8,8,,85.0,439.0,-10.871402522976872,-4.25443214330875,0.9758887080188572,0.9758887080188572,3.0573386772162294,0.7683133962505747,3.9792859165755337,1
